H. sapiens,C. elegans,D. melanogaster,C. elegans racon
80,80,80,80
80,80,80,80
80,80.01,80,80
80,80.01,80,80.01
80,80.02,80,80.02
80,80.02,80,80.02
80,80.03,80,80.03
80,80.03,80.01,80.03
80,80.04,80.01,80.03
80,80.04,80.01,80.04
80,80.05,80.02,80.04
80,80.06,80.02,80.05
80,80.06,80.02,80.05
80.01,80.07,80.02,80.06
80.01,80.07,80.02,80.06
80.01,80.08,80.03,80.07
80.01,80.08,80.03,80.08
80.01,80.09,80.03,80.08
80.01,80.09,80.04,80.09
80.01,80.09,80.04,80.1
80.01,80.1,80.04,80.11
80.01,80.1,80.05,80.11
80.01,80.1,80.05,80.11
80.02,80.1,80.05,80.12
80.02,80.11,80.05,80.12
80.02,80.11,80.06,80.13
80.02,80.12,80.06,80.13
80.02,80.12,80.07,80.13
80.02,80.14,80.07,80.14
80.02,80.14,80.07,80.14
80.02,80.15,80.08,80.14
80.02,80.15,80.08,80.14
80.02,80.15,80.08,80.14
80.02,80.15,80.09,80.16
80.02,80.15,80.09,80.17
80.02,80.16,80.09,80.17
80.02,80.16,80.09,80.17
80.02,80.16,80.09,80.17
80.03,80.17,80.09,80.17
80.03,80.17,80.09,80.18
80.03,80.17,80.09,80.18
80.03,80.18,80.1,80.18
80.03,80.18,80.1,80.18
80.03,80.18,80.11,80.18
80.03,80.18,80.11,80.19
80.03,80.18,80.11,80.19
80.03,80.19,80.11,80.19
80.03,80.19,80.11,80.2
80.03,80.19,80.12,80.2
80.03,80.19,80.12,80.2
80.03,80.19,80.12,80.2
80.04,80.2,80.12,80.21
80.04,80.2,80.13,80.22
80.04,80.2,80.13,80.22
80.04,80.21,80.13,80.22
80.04,80.22,80.13,80.22
80.04,80.22,80.14,80.22
80.04,80.22,80.14,80.24
80.04,80.23,80.15,80.25
80.04,80.24,80.15,80.25
80.04,80.24,80.15,80.25
80.04,80.24,80.15,80.25
80.04,80.25,80.15,80.25
80.04,80.25,80.15,80.26
80.04,80.25,80.16,80.26
80.04,80.25,80.17,80.27
80.04,80.25,80.17,80.27
