H. sapiens,C. elegans,D. melanogaster
80,80,80
80,80,80
80.07,80,80
80.08,80.01,80.01
80.08,80.02,80.01
80.11,80.02,80.01
80.15,80.04,80.01
80.15,80.05,80.01
80.15,80.06,80.01
80.16,80.07,80.01
80.16,80.09,80.01
80.18,80.11,80.01
80.19,80.12,80.01
80.2,80.12,80.01
80.23,80.13,80.01
80.25,80.14,80.03
80.26,80.14,80.03
80.26,80.15,80.03
80.27,80.15,80.04
80.27,80.15,80.04
80.29,80.17,80.05
80.3,80.18,80.05
80.3,80.18,80.05
80.31,80.19,80.05
80.32,80.2,80.05
80.33,80.22,80.05
80.33,80.22,80.05
80.34,80.22,80.05
80.37,80.22,80.05
80.38,80.22,80.05
80.39,80.23,80.06
80.39,80.24,80.07
80.39,80.24,80.07
80.4,80.24,80.07
80.4,80.27,80.07
80.41,80.27,80.08
80.41,80.29,80.08
80.43,80.29,80.08
80.44,80.29,80.08
80.45,80.31,80.08
80.46,80.33,80.08
80.47,80.36,80.09
80.49,80.36,80.09
80.49,80.38,80.09
80.49,80.39,80.09
80.5,80.41,80.09
80.5,80.41,80.1
80.51,80.41,80.1
80.52,80.41,80.1
80.53,80.42,80.1
80.55,80.43,80.1
80.56,80.45,80.1
80.59,80.47,80.11
80.6,80.47,80.11
80.61,80.47,80.11
80.62,80.47,80.11
80.64,80.48,80.11
80.66,80.5,80.11
80.68,80.5,80.12
80.7,80.5,80.12
80.7,80.5,80.12
80.71,80.53,80.13
80.72,80.53,80.13
80.73,80.54,80.13
80.74,80.56,80.13
80.74,80.59,80.14
80.78,80.59,80.14
80.78,80.62,80.14
80.79,80.62,80.15
80.8,80.62,80.15
80.8,80.65,80.15
80.84,80.65,80.15
80.85,80.65,80.16
80.86,80.65,80.16
80.86,80.66,80.16
80.87,80.66,80.16
80.88,80.67,80.17
80.88,80.67,80.17
80.88,80.68,80.17
80.89,80.69,80.17
80.9,80.69,80.17
80.9,80.7,80.17
80.91,80.72,80.18
80.91,80.72,80.18
80.92,80.72,80.18
80.92,80.73,80.18
80.93,80.73,80.18
80.93,80.75,80.18
80.93,80.75,80.19
80.95,80.76,80.19
80.96,80.76,80.19
80.97,80.77,80.19
81,80.79,80.19
81.01,80.8,80.19
81.02,80.81,80.19
81.03,80.81,80.19
81.03,80.81,80.19
81.05,80.82,80.2
81.06,80.83,80.2
81.06,80.84,80.2
81.07,80.84,80.2
81.09,80.84,80.2
81.09,80.84,80.2
81.1,80.86,80.2
81.1,80.87,80.21
81.1,80.88,80.21
81.11,80.88,80.21
81.13,80.89,80.21
81.15,80.89,80.21
81.16,80.9,80.21
81.16,80.91,80.21
81.17,80.92,80.21
81.17,80.94,80.21
81.17,80.95,80.21
81.17,80.96,80.21
81.18,80.96,80.21
81.19,80.96,80.22
81.19,80.97,80.22
81.19,80.97,80.22
81.21,80.99,80.22
81.21,80.99,80.22
81.21,81,80.22
81.21,81,80.22
81.21,81.01,80.22
81.22,81.01,80.23
81.22,81.01,80.23
81.22,81.02,80.23
81.22,81.04,80.23
81.23,81.04,80.23
81.23,81.04,80.23
81.24,81.04,80.23
81.24,81.06,80.24
