H. sapiens,D. melanogaster,C. elegans
-169824,1844,-1929
-242607015,1001,-2225
236282,10744657,-1654
-590509,1317,-10799
591105,1076,-2060
223218051,2000,-2066
1285,1156,-2059
1081,-8520,-2059
1221,1526,-1888
1691,1255,-2234
1461,1451,-1030
1490,14216976,-4831
1126,1499,-1517
2974,1807,-1740
1087,2168,-5075
1664,1291,-3836
1153,1361,-4132
1286,1124,-2222
1929,2369,-4027
7188,8110867,-4854
-2006,8073615,-1184
4084,1561,1783
2065,14484401,-1184
-1899,-14489553,-1041
1089,-2197,107957
1989,1778,-5588
1281,11577,-1792
4113,-3523,-3237
1206,-3107,13608430
1506,-2970,-4992
2149,1130,-2975
1349,1133,-5218
1841,679961,-1490
4699,-7493,-1075
1127,6119,-1400
1092,-4440,-8419
2056,-3430,-1091
1709,-3433,-1061
1885,2465,-1204
1018,-3435,-1276
1340,699959,-1127
1324,1795765,-1944
3432,7298,-1855
2194,10830,-2055
1981,1469929,1186
1165,3097710,-1921
2697,773350,-2416
1037,2260649,-2037
3000,17262,-4806
1261,28739,-5165
1710,236766,-1165
1073,6751316,-3531
1328,-2567,3532
1545,22317,-3610
-1148,3571804,3409
3748,-1777427,-1197
-5609,104423,-1349
2625,-9029,-2827
2150,1500,-8386
1331,1027,-3384
2596,1318,-9708
1964,-2163,-9415
1538,1498,-3023
1122,605330,-10777
1324,-606689,-1287
2046,1751,5684
2717,-3651,-6842
1398,-3655,-11345
1769,-3632,-8152
1905,5151,-7416
2365,1614,-1321
-1788,1394,-1527
1021,1254,1362
2478,1139,-1017
1335,3646,-3192
1781,16492,-4900
2870,-7187,-6723
1564,-7919,-1359
183593,1228,-2538
2521,1375,-3493
1245,1928,-1592
1206,1707,-3564
3228,-2845,-1884
1022,-2139,-1817
1378,-4376,-1294
1092,-1022,-6576
-4581,4007,2543
-4580,-2355,-2944
-2045,1829,-4041
2841,1058,-4352
1175,1134,-1579
1135,1126,-5425
-4857,1728,-3234
2445,1812,258809
1553,1445,388264
59225,19161,-1801
35140,23267,1166
1951,-9907,-8025
1712,1558,-1912
1059,-1053,-1566
1079,1110,-2261
1972,-1888,-1646
1628,1144,3112
4799,1251,-3634
1688,2135,-1489
1253,1157,-1370
1366,1071,22653
1163,1287,20266
1688,1944,-12223
1233,1428,5384
1997,-4656,-1154
1587,1423,-2634
1055,-5179,-1149
1403,-8872,-1603
2240,-4183,-2053
1582,1725,-2261
1766,3717,-1410
1897,2191,9739854
1030,2630,-9744382
1401,1197,-9298
2218,13721065,-2819
1072,13707034,-5395
1643,1183,-2162
1053,1911,-5198
1830,1114,-2600
2208,-16803407,-2375
1032,16798259,-3560
2368,2217,-7481
1894,-1446,-4642
1818,31676,1305
2534,-6819,-1414
1277,-6819,108984
4098,-6093,-2555
1782,-5298694,1143790
1135,5293305,-1258644
1172,1727,-1800739
2674,12012,1796647
1669,-16214,3044
1227,4194,-1989
7644634,2337,-3805
-7648337,7581,-2865
1860,1346,-2035
3325,2051,-1850
3701,2337,-2401
1399,7417,-1495
3075,1169,-3033
1239,-4686,-1694
6094,1179,-4091
1865,1038,-1203
1564,-8361,-1496
2076,-35192,-1522
1303,-12171,1303
2271,-36715,-2115
8689,14071,-2160
2429,5469,-2159
1051,25512,-2032
1725,22289267,-1078
1502,-4630,-1056
5986,-4923,-1190
1760,-54073,-2362
1175,-36388,-2908
2841,22791,-7235
1587,-36820,1829
3222,22313,-1350
5603,24182,28814
2124,79856,-6306
1801,22370,2431
1953,66200,-5379
-1654994,1220,-5331
1655330,-6454,-2265
3231,-2822,1326
1350,-48812,-2158
1635,47577,-5250
1436,-2807,-1141
1123,-1429,-2531
1041,3386,-2436
1326,10164,-2210
1606,15590,-3562
1252,6093,-13196
1210,-9309,-2145
1228,-49081,-2019
2301,47577,-1765
2619,2810,-1238
1117,1024,-2958
1156,1237,-2854
1352,1519,-2451
1578,1541,-1426
1085,1932011,-22037
45594,1929949,-1259
1061,741054,-4043
1161,718669,-3384
1006,1061,-1820
1212,1210,-10539
2324,2179209,-10540
2019,2176432,-1797
1792,-6402,-1165
1194,1559,-2118
87561401,17221,-1547
87516437,-53986,-2517
1476,1761,1241
3111,1807,-2283
1165,1493,-1576
1249,1034,-3236
1018,6881396,-2726
2862,-6886651,1926
1564,1773,3069
2670,1240,-6511
2486,7004,-7195
1610,1281,-1667
1429,1257,7233
4948,1888,-2722
3235,1830119,-2702
1064,3348445,-4800
1604,1518396,-7203
1170,-1398,-7197
1189,2814,-2435
2342,-5926,-1815
4338,2081,-2030
1374,3101,-1750
4301,1272,-3373
-18472,1080,-3093
18445,-9081,-3754
2740,1101,-2463
7010,-1118,-2438
1070,2245,-1502
2182,1958,205048
-3616,9098,8206057
1371,3882,-8418341
2128,84431,-2946
2228,96098,-1079
35853445,-33767,-1290
35876516,-1244,-8570
1090,6522,-7000
