,len,species,positive,abslen
0,-169824.0,H. sapiens,False,169824.0
1,-242607015.0,H. sapiens,False,242607015.0
2,236282.0,H. sapiens,True,236282.0
3,-590509.0,H. sapiens,False,590509.0
4,591105.0,H. sapiens,True,591105.0
5,223218051.0,H. sapiens,True,223218051.0
6,1285.0,H. sapiens,True,1285.0
7,1081.0,H. sapiens,True,1081.0
8,1221.0,H. sapiens,True,1221.0
9,1691.0,H. sapiens,True,1691.0
10,1461.0,H. sapiens,True,1461.0
11,1490.0,H. sapiens,True,1490.0
12,1126.0,H. sapiens,True,1126.0
13,2974.0,H. sapiens,True,2974.0
14,1087.0,H. sapiens,True,1087.0
15,1664.0,H. sapiens,True,1664.0
16,1153.0,H. sapiens,True,1153.0
17,1286.0,H. sapiens,True,1286.0
18,1929.0,H. sapiens,True,1929.0
19,7188.0,H. sapiens,True,7188.0
20,-2006.0,H. sapiens,False,2006.0
21,4084.0,H. sapiens,True,4084.0
22,2065.0,H. sapiens,True,2065.0
23,-1899.0,H. sapiens,False,1899.0
24,1089.0,H. sapiens,True,1089.0
25,1989.0,H. sapiens,True,1989.0
26,1281.0,H. sapiens,True,1281.0
27,4113.0,H. sapiens,True,4113.0
28,1206.0,H. sapiens,True,1206.0
29,1506.0,H. sapiens,True,1506.0
30,2149.0,H. sapiens,True,2149.0
31,1349.0,H. sapiens,True,1349.0
32,1841.0,H. sapiens,True,1841.0
33,4699.0,H. sapiens,True,4699.0
34,1127.0,H. sapiens,True,1127.0
35,1092.0,H. sapiens,True,1092.0
36,2056.0,H. sapiens,True,2056.0
37,1709.0,H. sapiens,True,1709.0
38,1885.0,H. sapiens,True,1885.0
39,1018.0,H. sapiens,True,1018.0
40,1340.0,H. sapiens,True,1340.0
41,1324.0,H. sapiens,True,1324.0
42,3432.0,H. sapiens,True,3432.0
43,2194.0,H. sapiens,True,2194.0
44,1981.0,H. sapiens,True,1981.0
45,1165.0,H. sapiens,True,1165.0
46,2697.0,H. sapiens,True,2697.0
47,1037.0,H. sapiens,True,1037.0
48,3000.0,H. sapiens,True,3000.0
49,1261.0,H. sapiens,True,1261.0
50,1710.0,H. sapiens,True,1710.0
51,1073.0,H. sapiens,True,1073.0
52,1328.0,H. sapiens,True,1328.0
53,1545.0,H. sapiens,True,1545.0
54,-1148.0,H. sapiens,False,1148.0
55,3748.0,H. sapiens,True,3748.0
56,-5609.0,H. sapiens,False,5609.0
57,2625.0,H. sapiens,True,2625.0
58,2150.0,H. sapiens,True,2150.0
59,1331.0,H. sapiens,True,1331.0
60,2596.0,H. sapiens,True,2596.0
61,1964.0,H. sapiens,True,1964.0
62,1538.0,H. sapiens,True,1538.0
63,1122.0,H. sapiens,True,1122.0
64,1324.0,H. sapiens,True,1324.0
65,2046.0,H. sapiens,True,2046.0
66,2717.0,H. sapiens,True,2717.0
67,1398.0,H. sapiens,True,1398.0
68,1769.0,H. sapiens,True,1769.0
69,1905.0,H. sapiens,True,1905.0
70,2365.0,H. sapiens,True,2365.0
71,-1788.0,H. sapiens,False,1788.0
72,1021.0,H. sapiens,True,1021.0
73,2478.0,H. sapiens,True,2478.0
74,1335.0,H. sapiens,True,1335.0
75,1781.0,H. sapiens,True,1781.0
76,2870.0,H. sapiens,True,2870.0
