name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,swift,1,7,714,0.032,1044,0,92% 0% 5% 5%,0.371
binarytrees,swift,1,14,714,0.624,1300,0,79% 50% 87% 54%,0.237
binarytrees,swift,1,21,714,132.891,736016,0,74% 69% 95% 56%,45.516
binarytrees,mri,1,7,376,0.018,0,0,8% 0% 100% 0%,0.124
binarytrees,mri,1,14,376,3.894,18908,0,26% 100% 8% 10%,3.897
binarytrees,mri,1,21,376,1861.648,1558620,0,19% 82% 3% 5%,1863.208
binarytrees,jruby,4,7,364,9.848,159732,0,79% 42% 54% 40%,5.883
binarytrees,jruby,4,14,364,10.308,195800,0,74% 76% 61% 70%,3.695
binarytrees,jruby,4,21,364,192.005,1962168,0,54% 50% 56% 29%,102.964
binarytrees,mri,4,7,364,0.016,528,0,100% 20% 13% 100%,1.367
binarytrees,mri,4,14,364,3.344,18888,0,92% 39% 100% 84%,3.348
binarytrees,mri,4,21,364,1744.328,1558460,0,3% 10% 90% 4%,1745.900
binarytrees,typescript,2,7,448,0.103,0,0,0% 17% 100% 7%,0.125
binarytrees,typescript,2,14,448,0.290,952,0,11% 96% 8% 8%,0.257
binarytrees,typescript,2,21,448,96.672,628040,0,60% 49% 43% 55%,47.091
binarytrees,typescript,2,21,448,96.778,643108,0,42% 56% 67% 42%,47.115
binarytrees,typescript,2,21,448,97.080,645176,0,57% 48% 48% 59%,46.096
binarytrees,typescript,2,21,448,96.916,628040,0,48% 46% 72% 42%,46.991
binarytrees,typescript,2,21,448,97.488,635844,0,46% 55% 66% 47%,46.109
binarytrees,typescript,2,21,448,97.571,634668,0,51% 71% 47% 48%,47.157
binarytrees,yarv,5,7,1107,1.016,9552,0,79% 20% 21% 47%,1.058
binarytrees,yarv,5,14,1107,1.498,43772,0,73% 59% 49% 89%,0.559
binarytrees,yarv,5,21,1107,176.919,434004,0,88% 85% 77% 89%,52.408
binarytrees,php,1,7,451,0.011,0,0,77% 52% 0% 26%,0.219
binarytrees,php,1,14,451,0.816,16100,0,99% 100% 11% 32%,0.822
binarytrees,php,1,21,451,228.882,735080,0,44% 1% 1% 57%,229.066
binarytrees,hipe,2,7,478,0.272,1540,0,50% 17% 26% 35%,0.319
binarytrees,hipe,2,14,478,0.363,1504,0,23% 50% 32% 70%,0.228
binarytrees,hipe,2,21,478,23.078,438904,0,70% 75% 63% 75%,8.210
binarytrees,hipe,2,21,478,23.593,445080,0,66% 77% 73% 71%,8.316
binarytrees,hipe,2,21,478,23.072,438140,0,80% 69% 75% 66%,8.029
binarytrees,hipe,2,21,478,23.082,438088,0,77% 71% 71% 65%,8.198
binarytrees,hipe,2,21,478,23.177,472836,0,82% 70% 65% 73%,8.063
binarytrees,hipe,2,21,478,23.142,438428,0,75% 71% 70% 71%,8.118
binarytrees,mri,2,7,378,0.017,0,0,83% 0% 13% 14%,0.073
binarytrees,mri,2,14,378,3.885,19224,0,2% 2% 100% 2%,3.888
binarytrees,mri,2,21,378,1887.330,1558656,0,0% 26% 75% 0%,1888.938
binarytrees,gpp,3,7,945,0.005,0,0,100% 0% 0% 50%,0.013
binarytrees,gpp,3,14,945,0.050,0,0,67% 50% 33% 67%,0.023
binarytrees,gpp,3,21,945,12.004,215476,0,82% 79% 49% 59%,4.554
binarytrees,gpp,3,21,945,11.239,221500,0,69% 51% 90% 44%,4.526
binarytrees,gpp,3,21,945,11.164,221592,0,57% 48% 89% 57%,4.482
binarytrees,gpp,3,21,945,11.302,221696,0,53% 65% 90% 42%,4.600
binarytrees,gpp,3,21,945,10.800,221448,0,86% 45% 71% 45%,4.422
binarytrees,gpp,3,21,945,11.172,221560,0,81% 71% 53% 45%,4.496
binarytrees,go,4,7,654,0.005,0,0,%,0.000
binarytrees,go,4,14,654,0.421,0,0,69% 79% 83% 93%,0.135
binarytrees,go,4,21,654,112.111,416436,0,96% 95% 97% 96%,30.136
binarytrees,go,4,21,654,111.230,438712,0,97% 95% 96% 95%,29.183
